ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation,Quality_Score
463156,Female,Yes,79,No,Lawyer,5.0,3,2.0,Cat_6,A,5.0
465729,Male,Yes,41,Yes,Artist,0.0,2,4.0,Cat_4,B,5.365159574468085
462384,Female,No,29,Yes,Healthcare,5.0,1,1.0,Cat_7,A,5.518207282913165
462442,Male,No,19,No,Healthcare,0.0,1,4.0,Cat_6,D,5.6310160427807485
464191,Female,No,45,Yes,Engineer,1.0,1,1.0,Cat_6,A,5.455764075067024
462078,Female,Yes,61,No,Artist,1.0,2,2.0,Cat_2,B,5.6128534704370185
467873,Female,Yes,36,Yes,Artist,1.0,2,2.0,Cat_6,C,5.604884318766066
461270,Male,Yes,40,Yes,Artist,1.0,1,1.0,Cat_3,A,5.467532467532467
462960,Female,Yes,57,Yes,Entertainment,0.0,2,2.0,Cat_6,C,5.632957746478873
464961,Male,Yes,76,No,Marketing,1.0,1,1.0,Cat_4,A,5.0
462110,Male,Yes,32,Yes,Artist,14.0,2,2.0,Cat_6,B,5.798994974874372
465769,Male,No,25,Yes,Healthcare,9.0,1,4.0,Cat_6,D,5.4602179836512255
462267,Male,No,32,5,Doctor,8.0,1,2.0,Cat_6,D,5.798994974874372
465269,Female,Yes,45,Yes,Artist,1.0,2,3.0,Cat_3,C,5.455764075067024
460881,Male,Yes,72,Yes,Lawyer,1.0,1,5.0,Cat_4,D,5.0
461891,Male,Yes,48,Yes,Artist,0.0,2,2.0,Cat_6,C,5.618260869565217
466935,Male,Yes,55,Yes,Artist,9.0,2,2.0,Cat_1,C,5.437640449438202
464091,Male,Yes,74,Yes,Lawyer,0.0,3,3.0,Cat_6,D,5.0
464535,Male,Yes,56,Yes,Lawyer,1.0,3,2.0,Cat_6,A,5.576308539944903
463108,Male,Yes,59,Yes,Lawyer,7.0,3,2.0,Cat_6,A,5.561213720316622
461356,Male,No,25,Yes,Entertainment,0.0,1,2.0,Cat_6,A,5.4602179836512255
464570,Male,Yes,31,Yes,Doctor,0.0,2,2.0,Cat_6,A,5.370523415977961
464580,Male,No,27,No,Artist,8.0,1,4.0,Cat_6,A,5.409756097560975
465233,Male,Yes,57,Yes,Artist,0.0,2,4.0,Cat_6,B,5.496388888888888
467208,Female,Yes,39,Yes,Homemaker,5.0,3,2.0,Cat_6,A,5.434864864864864
459954,Male,Yes,27,Yes,Healthcare,8.0,1,2.0,Cat_6,D,5.409756097560975
460219,Female,Yes,51,Yes,Entertainment,8.0,2,2.0,Cat_6,A,5.518232044198895
460877,Female,Yes,47,No,Artist,0.0,2,5.0,Cat_6,B,5.423209169054441
460191,Female,No,33,No,Healthcare,8.0,1,4.0,Cat_6,D,5.62827763496144
463742,Male,Yes,56,Yes,Artist,0.0,2,4.0,Cat_6,C,5.576308539944903
463691,Female,No,33,No,Homemaker,0.0,1,3.0,Cat_6,B,5.62827763496144
463250,Female,No,36,Yes,Doctor,0.0,1,2.0,Cat_6,D,5.604884318766066
463952,Male,Yes,51,No,Artist,4.0,1,3.0,Cat_4,A,5.592458100558659
461558,Male,Yes,45,Yes,Engineer,2.0,2,2.0,Cat_6,C,5.33225
466567,Female,No,49,Yes,5,1.0,1,1.0,Cat_6,D,5.481896551724137
465379,Male,No,30,No,Healthcare,0.0,1,4.0,Cat_6,C,5.450123456790123
463814,Female,No,26,No,Healthcare,6.0,1,3.0,Cat_5,D,5.390932642487047
466938,Male,Yes,63,Yes,Artist,8.0,1,1.0,Cat_6,A,5.550857142857143
460671,Male,Yes,35,No,Entertainment,8.0,2,4.0,Cat_3,B,5.618489583333333
462204,Female,No,19,No,Marketing,1.0,1,3.0,Cat_4,A,5.411049723756906
461671,Male,No,32,No,Healthcare,7.0,1,5.0,Cat_6,D,5.798994974874372
459384,Male,Yes,52,Yes,Artist,0.0,2,3.0,Cat_6,C,5.434159779614324
459905,Female,Yes,36,Yes,Artist,5.0,1,2.0,Cat_6,C,5.604884318766066
464734,Female,No,42,No,Entertainment,7.0,1,3.0,Cat_4,D,5.681212121212121
464125,Male,Yes,40,No,Doctor,0.0,2,2.0,Cat_3,D,5.467532467532467
467434,Male,No,39,Yes,Entertainment,0.0,1,3.0,Cat_1,B,5.413941018766756
460956,Female,Yes,47,Yes,Artist,1.0,2,4.0,Cat_3,C,5.423209169054441
465179,Female,Yes,61,Yes,Artist,1.0,3,2.0,Cat_6,C,5.6128534704370185
463338,Male,Yes,32,No,Entertainment,1.0,1,2.0,Cat_3,D,5.798994974874372
467066,Male,Yes,55,No,Artist,0.0,1,1.0,Cat_6,B,5.437640449438202
463845,Male,Yes,58,Yes,Artist,5.0,2,1.0,Cat_6,D,5.646280991735537
459976,Female,No,38,Yes,Artist,0.0,1,1.0,Cat_6,D,5.573066666666667
461334,Male,Yes,63,Yes,Artist,0.0,3,2.0,Cat_6,C,5.550857142857143
465108,Male,Yes,58,Yes,Doctor,1.0,2,2.0,Cat_6,C,5.646280991735537
462600,Male,Yes,30,No,Engineer,3.0,2,3.0,Cat_4,D,5.450123456790123
464144,Male,Yes,60,Yes,Artist,0.0,2,4.0,Cat_6,C,5.5475218658892125
466911,Male,Yes,68,No,Executive,1.0,3,7.0,Cat_6,B,5.389839572192513
462806,Male,Yes,52,No,Artist,0.0,1,3.0,Cat_4,A,5.434159779614324
463426,Male,Yes,38,No,Executive,0.0,3,5.0,Cat_6,A,5.748684210526315
464065,Female,Yes,35,Yes,Healthcare,10.0,1,2.0,Cat_6,B,5.522666666666667
462979,Male,No,18,No,Doctor,1.0,1,2.0,Cat_6,D,5.483844011142061
462834,Male,Yes,30,Yes,Homemaker,3.0,1,2.0,Cat_1,D,5.450123456790123
460764,Male,No,86,No,Lawyer,1.0,1,1.0,Cat_6,D,5.0
466466,Female,5,19,No,Healthcare,6.0,1,5.0,Cat_3,D,5.411049723756906
460185,Male,No,25,No,Healthcare,9.0,1,3.0,Cat_6,D,5.4602179836512255
459749,Male,Yes,59,Yes,Entertainment,5.0,1,4.0,Cat_4,A,5.561213720316622
464406,Female,No,39,Yes,Artist,0.0,1,1.0,Cat_6,A,5.434864864864864
467758,Female,Yes,50,Yes,Doctor,1.0,1,5.0,Cat_6,B,5.416020671834626
462059,Male,No,47,Yes,Artist,1.0,1,1.0,Cat_6,C,5.635260115606936
467905,Male,Yes,43,Yes,Executive,0.0,3,3.0,Cat_6,D,5.510000000000001
461177,Male,Yes,36,No,Executive,8.0,2,4.0,Cat_1,B,5.542547425474254
460765,Male,Yes,80,No,Lawyer,1.0,1,1.0,Cat_6,D,5.0
465386,Male,No,36,Yes,Artist,0.0,1,2.0,Cat_2,C,5.542547425474254
465827,Male,No,27,No,5,2.0,1,7.0,Cat_4,D,5.409756097560975
462332,Female,Yes,37,Yes,Artist,1.0,3,2.0,Cat_7,A,5.56231884057971
464481,Male,Yes,46,Yes,Executive,0.0,3,3.0,Cat_6,C,5.545454545454546
461011,Male,Yes,55,No,Executive,1.0,3,4.0,Cat_3,B,5.437640449438202
464749,Female,Yes,47,No,Engineer,9.0,2,4.0,Cat_4,B,5.423209169054441
461094,Female,No,28,Yes,Healthcare,1.0,1,3.0,Cat_3,D,5.661891891891893
462104,Male,Yes,39,No,Entertainment,9.0,1,2.0,Cat_3,D,5.413941018766756
464524,Female,Yes,27,No,Marketing,1.0,1,2.0,Cat_6,A,5.554330708661417
466295,Female,Yes,42,No,Engineer,0.0,1,5.0,Cat_6,A,5.681212121212121
461787,Male,Yes,72,Yes,Artist,0.0,2,2.0,Cat_6,C,5.0
467857,Female,Yes,28,Yes,Engineer,0.0,1,2.0,Cat_6,A,5.661891891891893
460153,Male,No,35,Yes,Entertainment,8.0,1,5.0,Cat_6,C,5.618489583333333
465215,Male,Yes,39,Yes,Executive,9.0,3,5.0,Cat_2,A,5.413941018766756
466746,Female,Yes,69,Yes,Lawyer,0.0,3,2.0,Cat_6,C,5.330591259640102
464857,Male,No,18,No,Healthcare,6.0,1,4.0,Cat_4,D,5.483844011142061
459478,Male,Yes,46,Yes,Artist,5.0,1,1.0,Cat_6,A,5.545454545454546
460723,Female,Yes,50,Yes,Engineer,1.0,3,2.0,Cat_4,B,5.416020671834626
459853,Male,No,30,No,Executive,5.0,1,5.0,Cat_6,A,5.450123456790123
459390,Female,No,41,No,Artist,5.0,1,2.0,Cat_6,B,5.454076086956522
460410,Female,No,39,Yes,Artist,3.0,1,4.0,Cat_6,D,5.434864864864864
463823,Female,No,29,No,Marketing,8.0,1,4.0,Cat_6,D,5.518207282913165
462008,Female,Yes,37,Yes,Artist,4.0,1,4.0,Cat_5,B,5.56231884057971
459750,Female,Yes,39,Yes,Engineer,0.0,2,2.0,Cat_6,A,5.434864864864864
459880,Female,Yes,48,Yes,Artist,0.0,2,5.0,Cat_7,C,5.413370473537604
459261,Female,No,32,Yes,Doctor,0.0,1,3.0,Cat_6,C,5.734249999999999
465656,Male,Yes,78,No,Lawyer,1.0,1,5.0,Cat_6,B,5.0
465395,Female,Yes,43,No,Engineer,0.0,2,5.0,Cat_4,B,5.389572192513368
461631,Male,No,29,No,Marketing,8.0,1,5.0,Cat_6,C,5.493261455525606
464904,Female,Yes,28,No,Engineer,9.0,2,2.0,Cat_4,A,5.661891891891893
461740,Male,Yes,80,Yes,Lawyer,1.0,1,1.0,Cat_6,B,5.0
467092,Female,No,28,Yes,Healthcare,7.0,1,4.0,Cat_6,D,5.661891891891893
464173,Male,Yes,71,Yes,Artist,6.0,2,3.0,Cat_6,C,5.0
464972,Male,Yes,67,No,Lawyer,0.0,3,9.0,Cat_4,A,5.544347826086956
467959,Female,No,26,No,Engineer,0.0,1,1.0,Cat_2,A,5.390932642487047
467688,Female,Yes,47,Yes,Engineer,0.0,2,2.0,Cat_6,C,5.423209169054441
460043,Female,Yes,43,Yes,Artist,2.0,2,2.0,Cat_6,B,5.389572192513368
466590,Female,No,27,Yes,Healthcare,0.0,1,4.0,Cat_6,C,5.554330708661417
461191,Female,Yes,45,Yes,Marketing,8.0,1,4.0,Cat_6,D,5.455764075067024
465662,Male,Yes,76,No,Executive,1.0,1,1.0,Cat_6,C,5.0
459231,Female,Yes,43,Yes,Artist,3.0,2,4.0,Cat_6,C,5.389572192513368
466495,Female,Yes,78,Yes,Lawyer,1.0,3,2.0,Cat_6,B,5.0
459192,Male,Yes,35,Yes,Artist,3.0,2,3.0,Cat_6,C,5.618489583333333
465710,Female,No,49,Yes,Artist,1.0,1,1.0,Cat_6,C,5.481896551724137
460258,Female,No,25,Yes,Healthcare,1.0,1,5.0,Cat_6,D,5.425543478260869
462813,Male,Yes,37,No,Executive,0.0,2,5.0,Cat_6,A,5.427374301675978
463595,Female,No,32,No,Healthcare,1.0,1,5.0,5,C,5.734249999999999
467768,Male,Yes,60,Yes,Doctor,0.0,2,2.0,Cat_6,C,5.5475218658892125
465291,Female,Yes,45,Yes,Artist,5.0,2,3.0,Cat_6,C,5.455764075067024
462996,Female,Yes,49,Yes,Homemaker,9.0,2,3.0,Cat_6,C,5.481896551724137
463497,Male,No,32,Yes,Artist,0.0,1,5.0,Cat_6,D,5.798994974874372
465301,Female,Yes,40,Yes,Artist,0.0,1,3.0,Cat_3,B,5.43771712158809
464702,Male,Yes,59,No,Artist,2.0,2,2.0,Cat_4,C,5.561213720316622
459012,Male,Yes,48,Yes,Artist,3.0,1,5.0,Cat_6,B,5.618260869565217
465053,Male,Yes,82,Yes,Executive,0.0,3,2.0,Cat_6,C,5.0
459420,Female,Yes,70,Yes,Lawyer,0.0,1,2.0,Cat_6,B,5.0
464166,Male,No,31,Yes,Artist,5.0,1,2.0,Cat_6,B,5.370523415977961
458987,Female,Yes,72,Yes,Lawyer,0.0,3,2.0,Cat_6,C,5.0
467745,Male,Yes,50,Yes,Artist,3.0,2,4.0,Cat_6,C,5.47316384180791
464866,Female,No,23,No,Engineer,11.0,1,1.0,Cat_3,D,5.400294985250737
461081,Female,No,20,No,Healthcare,2.0,1,6.0,Cat_6,D,5.522368421052631
467896,Female,No,22,No,Healthcare,4.0,1,3.0,Cat_6,D,5.602393617021277
463991,Female,No,31,Yes,Engineer,8.0,1,1.0,Cat_6,A,5.382561307901907
466620,Female,Yes,36,Yes,Artist,7.0,2,2.0,Cat_6,C,5.604884318766066
462594,Male,Yes,52,No,Entertainment,5.0,2,5.0,Cat_4,B,5.434159779614324
462206,Female,No,29,Yes,Artist,5.0,1,1.0,Cat_4,B,5.518207282913165
460697,Male,Yes,40,Yes,Artist,4.0,2,4.0,Cat_6,C,5.467532467532467
467934,Female,No,40,Yes,Artist,1.0,1,1.0,Cat_6,A,5.43771712158809
460054,Male,Yes,38,Yes,Artist,5.0,1,2.0,Cat_6,C,5.748684210526315
459576,Female,Yes,85,No,Lawyer,5.0,1,5.0,5,A,5.0
467910,Female,No,21,No,Doctor,1.0,1,3.0,Cat_7,A,5.670555555555556
467335,Female,Yes,41,No,Engineer,4.0,2,2.0,Cat_6,D,5.454076086956522
460263,Male,Yes,40,Yes,Artist,0.0,1,2.0,Cat_6,B,5.467532467532467
459340,Male,Yes,53,Yes,Artist,1.0,2,3.0,Cat_6,B,5.4153439153439145
465622,Female,Yes,42,Yes,Artist,5.0,1,2.0,Cat_6,C,5.681212121212121
459395,Male,Yes,42,No,Executive,8.0,1,2.0,Cat_6,D,5.310327455919395
467539,Male,Yes,48,Yes,Artist,5.0,2,4.0,Cat_7,C,5.618260869565217
466574,Male,Yes,59,Yes,Artist,7.0,1,2.0,Cat_6,C,5.561213720316622
466544,Male,Yes,41,Yes,Executive,1.0,2,3.0,Cat_6,A,5.365159574468085
463610,Female,Yes,31,Yes,Artist,0.0,2,2.0,Cat_6,A,5.382561307901907
465539,Female,Yes,49,Yes,Artist,1.0,3,5.0,Cat_6,B,5.481896551724137
459823,Male,Yes,67,Yes,Executive,1.0,1,2.0,Cat_6,A,5.544347826086956
467614,Male,Yes,35,No,Artist,4.0,2,2.0,Cat_6,B,5.618489583333333
459073,Female,No,26,Yes,Healthcare,0.0,1,3.0,Cat_6,C,5.390932642487047
466065,Male,5,19,No,Healthcare,9.0,1,3.0,Cat_3,D,5.6310160427807485
464863,Female,Yes,25,No,Engineer,6.0,2,8.0,Cat_4,D,5.425543478260869
460022,Female,Yes,39,Yes,Healthcare,4.0,1,2.0,Cat_6,A,5.434864864864864
459929,Male,Yes,63,Yes,Entertainment,0.0,1,2.0,Cat_6,A,5.550857142857143
466613,Male,No,23,No,Healthcare,8.0,1,3.0,Cat_6,D,5.453389830508475
461149,Female,No,23,No,Healthcare,0.0,1,3.0,Cat_3,D,5.400294985250737
466068,Female,Yes,53,Yes,Artist,2.0,1,1.0,Cat_6,C,5.41119592875318
461513,Male,No,33,Yes,Doctor,0.0,1,2.0,Cat_6,B,5.39891304347826
464761,Female,Yes,50,No,Engineer,5.0,2,4.0,Cat_2,B,5.416020671834626
466236,Female,Yes,69,Yes,Engineer,0.0,1,2.0,Cat_4,B,5.330591259640102
459664,Male,No,37,Yes,Artist,2.0,1,1.0,Cat_6,B,5.427374301675978
461967,Female,No,20,No,Marketing,3.0,1,4.0,Cat_7,C,5.522368421052631
460516,Female,5,85,No,Lawyer,0.0,3,1.0,Cat_3,C,5.0
461710,Female,Yes,49,Yes,Doctor,1.0,2,4.0,Cat_6,C,5.481896551724137
462742,Male,No,18,No,Healthcare,0.0,1,3.0,Cat_3,D,5.483844011142061
459528,Female,Yes,52,Yes,Doctor,0.0,2,2.0,Cat_6,C,5.279387186629527
462691,Male,Yes,25,No,Doctor,5.0,2,2.0,Cat_4,B,5.4602179836512255
462934,Male,Yes,56,No,Executive,5.0,3,2.0,Cat_6,A,5.576308539944903
465837,Male,No,62,Yes,5,0.0,1,1.0,Cat_6,A,5.405405405405405
464613,Female,No,35,5,Artist,0.0,1,3.0,Cat_6,B,5.522666666666667
467515,Male,Yes,28,Yes,Engineer,0.0,2,2.0,Cat_6,A,5.354925373134328
463429,Female,No,28,Yes,Artist,7.0,1,3.0,Cat_6,A,5.661891891891893
464024,Male,No,20,No,Healthcare,0.0,1,5.0,Cat_7,D,5.475555555555555
460691,Female,No,27,No,Homemaker,8.0,1,1.0,Cat_3,D,5.554330708661417
461825,Female,No,56,No,Engineer,5.0,1,1.0,Cat_6,A,5.465599999999999
467271,Male,Yes,45,Yes,Artist,4.0,2,4.0,Cat_6,B,5.33225
465634,Male,No,25,Yes,Healthcare,1.0,1,4.0,Cat_4,B,5.4602179836512255
464801,Male,No,40,No,Marketing,1.0,1,1.0,Cat_4,D,5.467532467532467
459429,Female,Yes,25,Yes,Healthcare,5.0,1,2.0,Cat_6,D,5.425543478260869
459888,Female,Yes,74,No,Lawyer,5.0,3,2.0,Cat_6,D,5.0
463467,Female,No,23,No,Healthcare,0.0,1,4.0,5,D,5.400294985250737
462036,Female,Yes,67,Yes,Lawyer,0.0,3,2.0,Cat_6,B,5.460589812332439
461282,Male,No,21,No,Healthcare,0.0,1,4.0,5,D,5.481889763779527
460448,Female,No,38,Yes,Artist,9.0,1,1.0,Cat_3,A,5.573066666666667
464464,Male,No,28,No,Healthcare,0.0,1,4.0,Cat_2,C,5.354925373134328
462410,Female,No,32,No,Healthcare,1.0,1,5.0,Cat_7,B,5.734249999999999
467252,Female,No,33,Yes,5,0.0,1,4.0,5,D,5.62827763496144
459756,Female,Yes,56,No,Lawyer,1.0,3,4.0,Cat_4,B,5.465599999999999
463789,Female,Yes,53,Yes,Artist,1.0,1,2.0,Cat_6,C,5.41119592875318
466947,Male,Yes,57,No,Executive,1.0,3,5.0,Cat_6,C,5.496388888888888
464150,Female,Yes,59,Yes,Artist,0.0,2,3.0,Cat_6,C,5.473033707865168
465693,Female,Yes,25,Yes,Healthcare,1.0,3,4.0,Cat_4,A,5.425543478260869
461670,Male,Yes,59,Yes,Artist,0.0,2,6.0,Cat_6,C,5.561213720316622
466768,Female,Yes,36,Yes,Artist,0.0,1,4.0,Cat_6,C,5.604884318766066
461550,Male,Yes,37,Yes,Entertainment,7.0,1,2.0,Cat_6,A,5.427374301675978
462438,Male,No,22,No,Doctor,1.0,1,3.0,Cat_2,D,5.591394658753709
460704,Male,Yes,43,Yes,Artist,1.0,1,2.0,Cat_6,B,5.510000000000001
464884,Male,Yes,41,Yes,Artist,1.0,1,2.0,Cat_4,A,5.365159574468085
467050,Female,No,21,No,Engineer,0.0,1,5.0,Cat_2,B,5.670555555555556
460738,Female,No,49,No,Engineer,1.0,1,5.0,Cat_7,A,5.481896551724137
466176,Male,No,38,Yes,Doctor,8.0,1,1.0,Cat_2,B,5.748684210526315
459488,Male,Yes,47,No,Artist,5.0,2,4.0,Cat_6,A,5.635260115606936
467773,Male,Yes,70,Yes,Lawyer,1.0,3,3.0,Cat_6,C,5.0
465425,Female,No,31,No,Engineer,1.0,1,4.0,Cat_6,B,5.382561307901907
462318,Female,Yes,82,No,Lawyer,0.0,2,2.0,Cat_6,A,5.0
466078,Female,Yes,51,No,Executive,5.0,1,1.0,Cat_6,A,5.518232044198895
460792,Female,No,42,No,Homemaker,11.0,1,5.0,Cat_6,A,5.681212121212121
460197,Male,No,38,Yes,Artist,8.0,1,3.0,Cat_2,A,5.748684210526315
459375,Male,Yes,18,No,Executive,0.0,3,4.0,Cat_6,A,5.483844011142061
463862,Male,Yes,50,Yes,Artist,6.0,2,3.0,Cat_6,C,5.47316384180791
460144,Female,No,46,Yes,Doctor,1.0,1,5.0,Cat_3,A,5.458981233243968
462721,Female,Yes,72,No,Lawyer,1.0,3,3.0,Cat_6,D,5.0
459637,Female,No,33,No,Engineer,5.0,1,4.0,Cat_6,C,5.62827763496144
465809,Female,No,25,No,Homemaker,1.0,1,7.0,Cat_4,B,5.425543478260869
466915,Female,Yes,75,No,Entertainment,2.0,3,2.0,Cat_2,D,5.0
467343,Male,No,72,Yes,Artist,1.0,1,1.0,Cat_6,B,5.0
466268,Female,Yes,72,Yes,Artist,0.0,2,3.0,Cat_4,C,5.0
464868,Male,Yes,36,Yes,Entertainment,6.0,1,6.0,Cat_4,A,5.542547425474254
464038,Male,Yes,40,Yes,Artist,1.0,1,2.0,Cat_6,A,5.467532467532467
460176,Female,No,28,Yes,Entertainment,0.0,1,4.0,Cat_6,C,5.661891891891893
462161,Female,No,28,Yes,Doctor,0.0,1,3.0,Cat_6,D,5.661891891891893
464841,Male,5,19,No,Entertainment,0.0,3,3.0,Cat_4,D,5.6310160427807485
464893,Male,Yes,43,Yes,Artist,0.0,1,2.0,Cat_4,B,5.510000000000001
464443,Female,Yes,35,Yes,Artist,1.0,2,2.0,Cat_6,B,5.522666666666667
467619,Male,Yes,65,Yes,Lawyer,1.0,3,2.0,Cat_6,B,5.339108910891089
465974,Male,Yes,52,Yes,Executive,7.0,3,4.0,Cat_4,C,5.434159779614324
462075,Female,No,40,Yes,Artist,1.0,1,1.0,Cat_6,B,5.43771712158809
459494,Female,Yes,69,No,Engineer,9.0,1,3.0,Cat_6,A,5.330591259640102
466921,Female,No,22,No,Healthcare,3.0,1,3.0,Cat_6,D,5.602393617021277
463544,Male,Yes,47,Yes,Executive,1.0,2,4.0,Cat_6,C,5.635260115606936
461167,Male,Yes,29,Yes,Marketing,1.0,3,2.0,Cat_3,A,5.493261455525606
467364,Male,Yes,46,Yes,Artist,1.0,2,3.0,Cat_3,C,5.545454545454546
462408,Male,No,32,Yes,Artist,1.0,1,2.0,Cat_6,A,5.798994974874372
466224,Female,No,38,Yes,Healthcare,0.0,1,1.0,Cat_2,C,5.573066666666667
465151,Male,Yes,59,Yes,Artist,0.0,1,1.0,Cat_6,B,5.561213720316622
467216,Female,No,26,Yes,Entertainment,1.0,1,1.0,Cat_6,D,5.390932642487047
460586,Male,No,26,Yes,Healthcare,1.0,1,2.0,Cat_3,A,5.5598853868194835
461197,Male,No,28,No,Marketing,0.0,1,1.0,Cat_3,D,5.354925373134328
462776,Female,Yes,53,Yes,Engineer,1.0,2,3.0,Cat_6,C,5.41119592875318
465058,Female,No,43,5,Entertainment,5.0,1,1.0,Cat_6,B,5.389572192513368
464088,Male,No,27,No,Doctor,1.0,1,3.0,Cat_6,D,5.409756097560975
459471,Female,No,32,No,Artist,5.0,1,8.0,Cat_6,C,5.734249999999999
464695,Male,No,26,No,Engineer,0.0,1,4.0,Cat_4,D,5.5598853868194835
462331,Female,No,31,No,Entertainment,0.0,1,2.0,Cat_6,D,5.382561307901907
466523,Male,Yes,39,Yes,Executive,1.0,3,3.0,Cat_3,B,5.413941018766756
465337,Female,Yes,43,No,Engineer,1.0,1,3.0,Cat_7,A,5.389572192513368
460834,Male,Yes,25,No,Doctor,1.0,1,2.0,Cat_1,A,5.4602179836512255
466824,Male,Yes,40,Yes,Artist,3.0,3,3.0,Cat_6,A,5.467532467532467
461607,Female,Yes,40,Yes,Entertainment,7.0,2,2.0,Cat_3,B,5.43771712158809
465091,Male,Yes,63,Yes,Entertainment,5.0,2,3.0,Cat_6,C,5.550857142857143
459532,Female,Yes,27,Yes,Healthcare,5.0,1,2.0,Cat_6,D,5.554330708661417
466999,Male,No,27,Yes,Healthcare,1.0,1,3.0,Cat_6,D,5.409756097560975
466597,Female,No,19,No,Healthcare,1.0,1,2.0,Cat_6,D,5.411049723756906
464075,Female,Yes,86,Yes,Lawyer,0.0,3,2.0,Cat_6,B,5.0
463394,Male,Yes,41,Yes,Marketing,5.0,3,2.0,Cat_6,B,5.365159574468085
462163,Female,Yes,27,Yes,Artist,4.0,2,2.0,Cat_3,C,5.554330708661417
463895,Female,Yes,70,No,Doctor,0.0,2,2.0,Cat_6,B,5.0
464767,Female,Yes,53,No,Engineer,8.0,2,4.0,Cat_4,B,5.41119592875318
